"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/04/2021","AQS","180110001","1","0.034","ppm","31","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"03/05/2021","AQS","180110001","1","0.037","ppm","34","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"03/06/2021","AQS","180110001","1","0.04","ppm","37","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"03/07/2021","AQS","180110001","1","0.039","ppm","36","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"03/08/2021","AQS","180110001","1","0.042","ppm","39","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"03/09/2021","AQS","180110001","1","0.047","ppm","44","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"03/10/2021","AQS","180110001","1","0.042","ppm","39","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"03/11/2021","AQS","180110001","1","0.031","ppm","29","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"03/12/2021","AQS","180110001","1","0.039","ppm","36","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"03/13/2021","AQS","180110001","1","0.042","ppm","39","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"03/14/2021","AQS","180110001","1","0.037","ppm","34","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
